epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2139.47,1.55184,2.29531,1.47924,0.41504,0.30807,0.25971,0.14963,1.85159,3.05193,1.76964,0.00040505,0.00040505,0.00040505
30,2211.76,1.56963,2.2878,1.53546,0.36595,0.27899,0.2549,0.13449,1.9131,3.05485,1.88242,0.000387052,0.000387052,0.000387052
31,2295.27,1.61036,2.29895,1.51074,0.35431,0.29795,0.25595,0.13378,1.89393,3.08437,1.84021,0.000369054,0.000369054,0.000369054
32,2379.66,1.46338,2.10256,1.41548,0.36768,0.318,0.28,0.15706,1.86837,3.07213,1.77404,0.000351056,0.000351056,0.000351056
33,2459.53,1.46418,2.12813,1.42481,0.4556,0.33602,0.32511,0.1798,1.85544,2.93258,1.76489,0.000333058,0.000333058,0.000333058
34,2538.72,1.51663,2.18453,1.46507,0.51633,0.30228,0.31891,0.17753,1.85285,2.9329,1.8184,0.000315059,0.000315059,0.000315059
35,2623.38,1.4997,2.05246,1.42947,0.40981,0.33269,0.31246,0.16356,1.93025,3.02216,1.92801,0.000297061,0.000297061,0.000297061
36,2702.18,1.3914,1.87172,1.37861,0.33363,0.33429,0.3068,0.16868,1.92859,2.95003,1.90033,0.000279063,0.000279063,0.000279063
37,2790.84,1.46446,2.04535,1.43377,0.30826,0.35107,0.3065,0.17589,1.94999,2.91832,1.90052,0.000261065,0.000261065,0.000261065
38,2876.93,1.37404,1.91139,1.3846,0.31463,0.30688,0.3017,0.17437,1.97568,2.95964,1.93539,0.000243067,0.000243067,0.000243067
39,2956.03,1.44987,1.90876,1.39422,0.33263,0.30969,0.30871,0.17039,1.96937,3.00837,1.94779,0.000225068,0.000225068,0.000225068
40,3033.35,1.38792,1.85695,1.37677,0.39905,0.28882,0.28597,0.16509,1.95732,3.00429,1.92386,0.00020707,0.00020707,0.00020707
41,3106.4,1.35876,2.03875,1.38118,0.41021,0.29714,0.29417,0.17202,1.94799,2.97421,1.88693,0.000189072,0.000189072,0.000189072
42,3181.66,1.2314,1.90555,1.33436,0.456,0.2805,0.30753,0.16646,1.96481,2.99629,1.87956,0.000171074,0.000171074,0.000171074
43,3257.08,1.27322,1.97822,1.35148,0.67538,0.27446,0.30982,0.16253,1.95632,3.01813,1.8927,0.000153076,0.000153076,0.000153076
44,3333.57,1.26073,1.95924,1.35612,0.52143,0.29195,0.31968,0.17066,1.946,2.98807,1.89612,0.000135077,0.000135077,0.000135077
45,3410.95,1.27215,1.8773,1.34556,0.4576,0.30318,0.30261,0.1686,1.93689,2.96794,1.88475,0.000117079,0.000117079,0.000117079
46,3489.91,1.22236,1.87098,1.32767,0.49046,0.2925,0.32955,0.17391,1.91334,2.92819,1.85944,9.9081e-05,9.9081e-05,9.9081e-05
47,3568.18,1.25808,1.85716,1.35176,0.47198,0.30823,0.31412,0.17471,1.90395,2.91541,1.82894,8.10828e-05,8.10828e-05,8.10828e-05
48,3643.99,1.14252,1.72096,1.25516,0.43628,0.30269,0.31083,0.17895,1.88627,2.89259,1.80982,6.30846e-05,6.30846e-05,6.30846e-05
49,3722.88,1.21013,1.83687,1.32622,0.44857,0.31936,0.32618,0.17938,1.89906,2.8896,1.82075,4.50864e-05,4.50864e-05,4.50864e-05
50,3801.03,1.24972,1.79766,1.31019,0.47301,0.32217,0.32717,0.18309,1.90451,2.8829,1.83105,2.70882e-05,2.70882e-05,2.70882e-05
