epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4863,2.39672,4.85673,2.29885,0.00135,0.11231,0.00926,0.00643,1.92429,4.84414,1.98111,0.000294088,0.000294088,0.000294088
2,148.819,2.1237,4.50719,1.95761,0.00296,0.2755,0.01408,0.00637,1.90564,4.62805,1.81022,0.000585266,0.000585266,0.000585266
3,220.963,2.11436,4.21476,1.8665,0.72404,0.02474,0.04317,0.01914,1.9658,4.32753,1.85088,0.000864445,0.000864445,0.000864445
4,293.288,2.22172,3.97257,1.91473,0.3976,0.07771,0.05382,0.02235,2.03008,4.09177,1.98078,0.000855005,0.000855005,0.000855005
5,365.346,2.07771,3.97382,1.84244,0.19631,0.06648,0.04422,0.01673,2.12393,4.16138,2.11179,0.000837007,0.000837007,0.000837007
6,438.765,2.02836,3.77351,1.80379,0.38411,0.09339,0.08413,0.03436,2.0113,4.0538,1.95693,0.000819009,0.000819009,0.000819009
7,513.196,1.99882,3.71136,1.79542,0.23548,0.13621,0.07593,0.02616,2.14539,4.10263,2.13945,0.000801011,0.000801011,0.000801011
8,587.518,1.92379,3.47507,1.75255,0.2971,0.17264,0.11409,0.05296,1.97295,4.11836,2.00947,0.000783013,0.000783013,0.000783013
9,662.247,1.89062,3.48652,1.72294,0.50767,0.13024,0.10722,0.04158,1.94452,4.40469,1.93918,0.000765014,0.000765014,0.000765014
10,736.82,1.85378,3.31039,1.7039,0.41418,0.166,0.10091,0.04772,2.00628,4.45715,1.99109,0.000747016,0.000747016,0.000747016
11,810.856,1.88402,3.32582,1.74791,0.33246,0.17698,0.13367,0.0555,1.95087,3.75516,1.89293,0.000729018,0.000729018,0.000729018
12,884.858,1.89951,3.30821,1.74921,0.20585,0.19621,0.13424,0.05904,1.90997,3.5497,1.83288,0.00071102,0.00071102,0.00071102
13,958.762,1.87006,3.23472,1.73795,0.13606,0.15901,0.11251,0.05111,1.96405,3.6525,1.86283,0.000693022,0.000693022,0.000693022
14,1032.64,1.89581,3.14416,1.74719,0.12114,0.21903,0.11886,0.05215,1.98377,3.72246,1.86368,0.000675023,0.000675023,0.000675023
15,1106.18,1.77461,2.98547,1.65151,0.34608,0.254,0.18942,0.09329,1.87382,3.52197,1.80491,0.000657025,0.000657025,0.000657025
16,1179.8,1.81717,3.02341,1.65263,0.30695,0.268,0.20917,0.10275,1.89836,3.34219,1.82751,0.000639027,0.000639027,0.000639027
17,1253.08,1.75375,2.89684,1.64167,0.27348,0.23671,0.20593,0.10047,1.94821,3.35285,1.87207,0.000621029,0.000621029,0.000621029
18,1326.25,1.71403,2.76877,1.59191,0.23092,0.26253,0.18968,0.091,1.91299,3.48344,1.85013,0.000603031,0.000603031,0.000603031
19,1400.06,1.75857,2.76772,1.62733,0.72689,0.15628,0.17691,0.08689,1.93113,3.48586,1.89139,0.000585032,0.000585032,0.000585032
20,1474.55,1.71723,2.64987,1.5958,0.52704,0.17669,0.19053,0.09494,2.01185,3.41281,1.95481,0.000567034,0.000567034,0.000567034
21,1548.58,1.68709,2.67959,1.58461,0.45781,0.16114,0.19622,0.10373,1.99217,3.36632,1.92533,0.000549036,0.000549036,0.000549036
22,1623.14,1.6332,2.59802,1.52373,0.26776,0.23582,0.18039,0.09052,1.93641,3.35902,1.86629,0.000531038,0.000531038,0.000531038
23,1696.77,1.66433,2.60646,1.58028,0.19749,0.23093,0.17026,0.08321,1.92123,3.48612,1.89958,0.00051304,0.00051304,0.00051304
24,1770.06,1.5932,2.43244,1.52865,0.33778,0.20652,0.18364,0.0886,1.8934,3.36155,1.84939,0.000495041,0.000495041,0.000495041
25,1843.52,1.64026,2.39654,1.49335,0.25849,0.27607,0.24239,0.1297,1.89137,3.16451,1.80267,0.000477043,0.000477043,0.000477043
26,1916.78,1.57451,2.28865,1.47189,0.34615,0.28267,0.23419,0.12116,1.93773,3.22401,1.90374,0.000459045,0.000459045,0.000459045
27,1990.08,1.52983,2.27444,1.46595,0.24943,0.30388,0.20798,0.10827,1.91865,3.34114,1.85431,0.000441047,0.000441047,0.000441047
28,2066.63,1.52567,2.25539,1.48156,0.35937,0.24573,0.21593,0.12628,1.86145,3.23244,1.74583,0.000423049,0.000423049,0.000423049
