epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3392,0,29.6121,0,0.00091,0.06636,0.00341,0.00075,2.68911,4.81787,2.80909,0.00014544,0.00014544,0.00014544
2,65.3343,0,28.6949,0,0.00087,0.05547,0.00322,0.00116,2.79358,4.85982,2.89438,0.000294031,0.000294031,0.000294031
3,96.0547,0,27.9317,0,0.00033,0.05034,0.00034,7e-05,2.91893,4.92793,3.07336,0.000436502,0.000436502,0.000436502
4,126.736,0,27.1979,0,0.00033,0.05034,0.00027,6e-05,2.88665,4.99186,3.13051,0.000572854,0.000572854,0.000572854
5,157.621,0,26.6146,0,0.00045,0.05986,0.00042,0.00014,2.86335,5.01908,3.168,0.000703086,0.000703086,0.000703086
6,188.126,0,26.0355,0,0.00045,0.05034,0.00074,0.00017,2.97947,4.97758,3.50902,0.000819009,0.000819009,0.000819009
7,218.835,0,25.4587,0,0.00068,0.03333,0.00054,0.00014,3.11621,5.00089,3.67751,0.000801011,0.000801011,0.000801011
8,249.618,0,24.9202,0,0.00016,0.00952,0.0001,2e-05,3.18473,6.42327,3.75984,0.000783013,0.000783013,0.000783013
9,280.447,0,24.5382,0,0.00031,0.01905,0.00017,2e-05,3.19016,5.02443,3.60453,0.000765014,0.000765014,0.000765014
10,311.502,0,24.2169,0,0.00033,0.01602,0.00081,0.00023,3.2445,17.505,3.6314,0.000747016,0.000747016,0.000747016
11,342.223,0,23.8455,0,0.00019,0.00649,0.00013,5e-05,3.22618,6.38093,3.52038,0.000729018,0.000729018,0.000729018
12,373.22,0,23.5294,0,0.00017,0.00649,0.0001,1e-05,3.20077,4.99674,3.27508,0.00071102,0.00071102,0.00071102
13,404.257,0,23.2333,0,0.00011,0.00952,0.00017,2e-05,3.1806,4.97761,3.19128,0.000693022,0.000693022,0.000693022
14,435.285,0,22.9684,0,0.0001,0.00952,0.00014,1e-05,3.19522,4.95797,3.13906,0.000675023,0.000675023,0.000675023
15,466.268,0,22.6898,0,0.0002,0.01905,0.00019,3e-05,3.23266,4.92638,3.17307,0.000657025,0.000657025,0.000657025
16,497.367,0,22.4415,0,0.00036,0.03946,0.00032,5e-05,3.24608,5.80461,3.1822,0.000639027,0.000639027,0.000639027
17,528.321,0,22.2097,0,0.00037,0.03946,0.00028,6e-05,3.29343,4.99521,3.19126,0.000621029,0.000621029,0.000621029
18,559.373,0,22.0049,0,0.00038,0.03946,0.00026,5e-05,3.24249,4.87802,3.06309,0.000603031,0.000603031,0.000603031
19,590.537,0,21.7743,0,0.00039,0.03946,0.00026,4e-05,3.28794,4.8664,3.05797,0.000585032,0.000585032,0.000585032
20,621.763,0,21.608,0,0.00057,0.05986,0.00038,0.00012,3.33941,4.84979,3.0718,0.000567034,0.000567034,0.000567034
21,653,0,21.4327,0,0.00045,0.05034,0.00034,9e-05,3.3364,4.83826,3.06051,0.000549036,0.000549036,0.000549036
